매체 ,소재,광고 시작일,광고 종료일,캠페인 목표,지출금액,광고 결과,결과 당 비용,도달,노출,CTR(전체),CPC(전체),CPM,빈도,게시물 참여,고객 전환,고객 획득 당 비용
팝업스토어가자,1안,2024.5.23,2024.5.27,트래픽,"₩259,414 ","1,054",₩246 ,"37,127","42,418",3.60%,₩170 ,"₩6,116 ",1.14,"8,653",129,"₩2,011 "
팝업스토어가자,2안,2024.5.23,2024.5.27,트래픽,"₩23,585 ",71,₩332 ,"2,925","3,193",3.07%,₩241 ,"₩7,386 ",1.09,726,5,"₩4,717 "
팝업스토어가자,3안,2024.5.23,2024.5.27,트래픽,"₩1,798 ",7,₩257 ,151,174,4.60%,₩225 ,"₩10,333 ",1.15,7,0,0
팝업스토어가자,4안,2024.5.23,2024.5.27,트래픽,"₩14,832 ",46,₩322 ,"1,465","1,756",3.47%,₩243 ,"₩8,446 ",1.2,51,9,"₩1,648 "
팝업스토어가자,5안,2024.5.23,2024.5.27,트래픽,₩371 ,1,₩371 ,38,39,2.56%,₩371 ,"₩9,513 ",1.03,8,0,0
팝콘,1안,2024.5.23,2024.5.27,트래픽,"₩11,009 ",17,₩648 ,985,"1,015",2.36%,₩459 ,"₩10,846 ",1.03,269,1,"₩11,009 "
팝콘,2안,2024.5.23,2024.5.27,트래픽,"₩132,418 ",407,₩325 ,"11,060","13,173",4.22%,₩238 ,"₩10,052 ",1.19,"2,695",72,"₩1,839 "
팝콘,3안,2024.5.23,2024.5.27,트래픽,"₩1,805 ",5,₩361 ,121,133,3.76%,₩361 ,"₩13,571 ",1.1,5,2,₩903 
팝콘,4안,2024.5.23,2024.5.27,트래픽,"₩4,393 ",9,₩488 ,286,311,3.54%,₩399 ,"₩14,125 ",1.09,10,3,"₩1,464 "
팝콘,5안,2024.5.23,2024.5.27,트래픽,₩375 ,1,₩375 ,47,49,2.04%,₩375 ,"₩7,653 ",1.04,16,0,0
팝업,1안,2024.5.23,2024.5.27,트래픽,"₩84,526 ",226,₩374 ,"7,748","8,483",3.70%,₩269 ,"₩9,964 ",1.09,"1,983",22,"₩3,842 "
팝업,2안,2024.5.23,2024.5.27,트래픽,"₩59,467 ",156,₩381 ,"5,644","5,951",3.75%,₩267 ,"₩9,993 ",1.05,"1,438",19,"₩3,130 "
