기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20191,D,발달상권,3120186,가로수길,CS300011,일반의류,35968728068,534090,22677545297,13291182771,3821009025,4429257004,4742585907,4737357205,4947336156,7650734290,5640448481,4839619,173826511,5166748448,12020514955,16182297553,2420500982,10523047903,24141807281,642275654,13049842641,8360211673,6592732663,4454987682,1564804864,327887,206203,55104,56702,68763,70694,76624,117834,88369,20,2223,74460,167779,248249,41359,141239,386843,15210,246941,113136,77988,56463,18341
20191,D,발달상권,3120186,가로수길,CS300024,운동/경기용품,1177173548,3836,925212270,251961278,85579650,211159245,128317164,249903738,250252473,223225486,28735792,0,8404521,219424270,253617770,598883185,96843802,587235425,235710210,0,48892693,238151358,292449449,184620485,58831650,2895,941,488,487,453,734,733,732,209,0,175,1046,1046,1534,35,2197,1326,0,453,803,1151,697,419
20191,D,발달상권,3120186,가로수길,CS100009,호프-간이주점,2685308062,60674,1759629448,925678614,255666344,351028593,369990325,337969032,444975154,539803910,385874704,919471284,802186,619361,22325897,535157185,1206932149,1364377201,1169580643,42795346,1273455771,756627049,281174929,149337289,30567457,38201,22473,6462,6999,7110,7683,9947,12852,9621,16418,18,29,998,14912,28299,28398,31416,1650,35013,14277,4420,3772,688
20191,D,발달상권,3120186,가로수길,CS100010,커피-음료,4743417492,325520,2998794230,1744623262,463346407,483140078,576547747,707482888,768277110,954056829,790566433,35575624,144213329,959481005,1536356742,1661717501,406073291,1581639839,2861517972,53636570,1882879761,1201138147,741010760,419557778,144934795,218497,107023,37445,40944,43912,46487,49709,60731,46292,3472,20288,69501,94626,104237,33396,108620,202539,5075,150911,81224,37885,27675,8392
20191,D,발달상권,3120186,가로수길,CS300016,안경,1552262917,7819,1093220384,459042533,125735923,127951722,143630746,272927584,422974409,229698459,229344074,124179486,15754622,332813457,562124140,484066073,33325139,1007349125,544913792,4036428,324161609,329140824,383756450,164506158,346661448,5215,2604,977,964,1001,917,1356,1417,1187,42,228,1174,2734,3318,323,3011,4808,135,2798,1858,1588,869,571
20191,D,발달상권,3120186,가로수길,CS100006,패스트푸드점,270698617,14895,159121804,111576813,25292380,24977849,33057403,35407476,40386696,62427711,49149102,0,5557678,62345410,67193898,122194240,13407391,100450215,142552254,2620568,124286633,68584726,24360135,16448525,6701881,9004,5891,1528,1423,1782,1965,2306,3344,2547,0,463,3405,4100,6336,591,4911,8976,181,7337,3731,1338,975,323
20191,D,발달상권,3120186,가로수길,CS300029,애완동물,371536679,1337,214188562,157348117,5373696,70392519,18778477,4648070,114995800,152993950,4354167,0,2402484,18811294,95030426,146329954,108962521,95648703,275887976,49922,148666582,161515986,50557310,9485365,1261514,954,383,156,240,149,157,252,240,143,0,61,185,365,659,67,417,920,4,310,319,435,225,44
20191,D,발달상권,3120186,가로수길,CS300032,가전제품,112862747,655,109729443,3133304,19302282,15123415,27510977,27956978,19835791,3133304,0,0,12070278,44247337,43036357,13508775,0,48570732,23463086,169368,4141042,32466678,23406630,11624276,225824,626,29,68,119,146,157,136,29,0,0,108,259,209,79,0,372,91,6,51,152,158,85,12
20191,D,발달상권,3120186,가로수길,CS200003,예술학원,678946246,1675,567217006,111729240,52085750,58059197,202026045,123588117,131457897,67545697,44183543,0,39708107,49674304,256727674,325413820,7422341,323132415,355813831,10556218,102638529,83355316,335881917,129243974,17270292,1379,296,174,148,430,297,330,205,91,0,82,157,545,858,33,668,1007,32,281,222,818,281,41
20191,D,발달상권,3120186,가로수길,CS200028,미용실,2007044252,34901,1230332584,776711668,175337913,188293033,218515896,298018710,350167032,492744468,283967200,0,8627143,376640001,695269314,875589337,50918457,580737257,1417512012,14559798,623569090,675237756,327870581,242024997,114987047,22688,12213,3921,4111,4108,4730,5818,7244,4969,0,293,7516,11044,15336,712,17238,17555,731,13745,9311,5056,4718,1231
20191,D,발달상권,3120186,가로수길,CS300001,슈퍼마켓,98577321,10148,74618831,23958490,12979438,11527951,18977232,15915296,15218914,11796840,12161650,1763344,6894198,19337615,22078488,34966798,13536878,42865636,42388684,274241,17071054,19430446,14959372,21653413,11865794,7689,2459,1418,1439,1618,1546,1668,1236,1223,319,647,1974,2101,3397,1710,5408,3808,52,2818,2209,1574,1440,1120
