전철역코드,전철역명,호선,외부코드
0008,수서역,GTX-A,X108
0009,성남역,GTX-A,X109
0011,동탄역,GTX-A,X111
0228,서울대입구역,02호선,228
0318,안국역,03호선,328
0321,충무로역,03호선,331
1209,도심역,경의선,K127
1307,회기역,경춘선,P118
1308,중랑역,경춘선,P119
1404,탕정역,01호선,P173
1456,평촌역,04호선,441
1759,안산역,04호선,453
1760,신길온천역,04호선,454
1761,정왕역,04호선,455
1762,오이도역,04호선,456
1763,수리산역,04호선,445
1800,오이도역,수인분당선,K258
1803,역곡역,01호선,146
1804,부천역,01호선,148
1806,부평역,01호선,152
1807,백운역,01호선,153
1810,제물포역,01호선,158
1811,동인천역,01호선,160
1817,도원역,01호선,159
1822,중동역,01호선,149
1823,도화역,01호선,157
0209,한양대역,02호선,209
0320,을지로3가역,03호선,330
0333,매봉역,03호선,343
0419,한성대입구역,04호선,419
0421,동대문역,04호선,421
0424,명동역,04호선,424
1313,별내역,경춘선,P124
1503,삼동역,경강선,K412
1512,성남역,경강선,K410
1714,독산역,01호선,P143
1830,한대앞역,수인분당선,K251
1833,초지역,수인분당선,K254
1835,신길온천역,수인분당선,K256
1836,정왕역,수인분당선,K257
1845,청량리역,수인분당선,K209
1846,수원역,수인분당선,K245
1847,서울숲역,수인분당선,K211
1849,강남구청역,수인분당선,K213
1851,가천대역,수인분당선,K223
1853,모란역,수인분당선,K225
1855,서현역,수인분당선,K228
1857,정자역,수인분당선,K230
1860,이매역,수인분당선,K227
1861,보정역,수인분당선,K234
1864,신갈역,수인분당선,K236
1867,청명역,수인분당선,K239
0234,신도림역,02호선,234
0242,아현역,02호선,242
0322,동대입구역,03호선,332
0335,대치역,03호선,345
0425,회현역,04호선,425
1014,청량리역,경의선,K117
1017,신이문역,01호선,121
1025,도곡역,수인분당선,K217
106C,백마역,서해선,S09
107C,풍산역,서해선,S08
1315,사릉역,경춘선,P126
1869,망포역,수인분당선,K241
1870,매탄권선역,수인분당선,K242
1871,수원시청역,수인분당선,K243
1872,매교역,수인분당선,K244
1873,고색역,수인분당선,K246
1875,어천역,수인분당선,K248
1878,달월역,수인분당선,K259
1880,소래포구역,수인분당선,K261
1881,인천논현역,수인분당선,K262
1884,원인재역,수인분당선,K265
1885,연수역,수인분당선,K266
1903,도봉산역,01호선,113
1904,망월사역,01호선,112
1905,회룡역,01호선,111
1906,의정부역,01호선,110
0229,봉천역,02호선,229
0243,충정로역,02호선,243
0336,학여울역,03호선,346
0414,수유역,04호선,414
1018,석계역,01호선,120
1026,구룡역,수인분당선,K218
1305,광운대역,경춘선,P116
1317,평내호평역,경춘선,P128
1405,배방역,01호선,P174
1505,초월역,경강선,K414
1721,송탄역,01호선,P162
1727,두정역,01호선,P168
1755,한대앞역,04호선,449
1908,녹양역,01호선,108
1909,양주역,01호선,107
1912,지행역,01호선,104
1950,삼송역,03호선,318
1952,화정역,03호선,315
1958,대화역,03호선,309
1980,김포공항역,서해선,S13
1982,부천종합운동장역,서해선,S15
2511,방화역,05호선,510
2515,마곡역,05호선,514
0244,용답역,02호선,211-1
0325,옥수역,03호선,335
1005,대방역,01호선,137
1202,상봉역,경의선,K120
1204,양원역,경의선,K122
1252,신촌역,경의선,P312
1279,금릉역,경의선,K330
1285,임진강역,경의선,K337
1454,정부과천청사역,04호선,439
1506,곤지암역,경강선,K415
1715,세류역,01호선,P156
1716,병점역,01호선,P157
1718,오산대역,01호선,P159
1750,광명역,01호선,P144-1
1757,고잔역,04호선,451
2516,발산역,05호선,515
2517,우장산역,05호선,516
2518,화곡역,05호선,517
2520,신정역,05호선,519
2523,양평역,05호선,522
0235,문래역,02호선,235
0326,압구정역,03호선,336
0411,노원역,04호선,411
0431,동작역,04호선,431
1007,신도림역,01호선,140
108C,일산역,서해선,S07
1206,도농역,경의선,K124
1207,양정역,경의선,K125
1321,청평역,경춘선,P132
1450,선바위역,04호선,435
1507,신둔도예촌역,경강선,K416
1510,세종대왕릉역,경강선,K419
1706,안양역,01호선,P147
2524,영등포구청역,05호선,523
2526,신길역,05호선,525
2527,여의도역,05호선,526
2528,여의나루역,05호선,527
2529,마포역,05호선,528
2530,공덕역,05호선,529
2532,충정로역,05호선,531
2533,서대문역,05호선,532
2534,광화문역,05호선,533
0217,잠실새내역,02호선,217
0432,총신대입구역,04호선,432
1201,중랑역,경의선,K119
1208,덕소역,경의선,K126
1211,운길산역,경의선,K129
1310,망우역,경춘선,P121
1322,상천역,경춘선,P133
1325,백양리역,경춘선,P136
2535,종로3가역,05호선,534
2536,을지로4가역,05호선,535
2537,동대문역사문화공원역,05호선,536
2538,청구역,05호선,537
2539,신금호역,05호선,538
2540,행당역,05호선,539
2541,왕십리역,05호선,540
2542,마장역,05호선,541
2544,장한평역,05호선,543
2545,군자역,05호선,544
2547,광나루역,05호선,546
2548,천호역,05호선,547
2549,강동역,05호선,548
2550,길동역,05호선,549
2551,굽은다리역,05호선,550
2552,명일역,05호선,551
2553,고덕역,05호선,552
0230,신림역,02호선,230
0415,미아역,04호선,415
0427,숙대입구역,04호선,427
1008,이촌역,경의선,K111
1030,수서역,수인분당선,K221
1214,국수역,경의선,K132
1215,아신역,경의선,K133
1216,오빈역,경의선,K134
1280,금촌역,경의선,K331
1323,가평역,경춘선,P134
1511,여주역,경강선,K420
2555,둔촌동역,05호선,P549
2556,올림픽공원역,05호선,P550
2557,방이역,05호선,P551
2559,개롱역,05호선,P553
2560,거여역,05호선,P554
2561,마천역,05호선,P555
2565,하남시청역,05호선,557
2566,하남검단산역,05호선,558
2611,응암역,06호선,610
2612,역촌역,06호선,611
2613,불광역,06호선,612
2614,독바위역,06호선,613
2615,연신내역,06호선,614
0218,종합운동장역,02호선,218
0319,종로3가역,03호선,329
0327,신사역,03호선,337
0341,경찰병원역,03호선,351
0420,혜화역,04호선,420
1015,회기역,01호선,123
1217,양평역,경의선,K135
1752,대야미역,04호선,446
2616,구산역,06호선,615
2617,새절역,06호선,616
2618,증산역,06호선,617
2619,디지털미디어시티역,06호선,618
2620,월드컵경기장역,06호선,619
2621,마포구청역,06호선,620
2622,망원역,06호선,621
2623,합정역,06호선,622
2624,상수역,06호선,623
2625,광흥창역,06호선,624
2626,대흥역,06호선,625
2627,공덕역,06호선,626
2628,효창공원앞역,06호선,627
2629,삼각지역,06호선,628
2630,녹사평역,06호선,629
0219,삼성역,02호선,219
0231,신대방역,02호선,231
0236,영등포구청역,02호선,236
0248,양천구청역,02호선,234-2
2631,이태원역,06호선,630
2633,버티고개역,06호선,632
2634,약수역,06호선,633
2636,신당역,06호선,635
2637,동묘앞역,06호선,636
2638,창신역,06호선,637
2639,보문역,06호선,638
2640,안암역,06호선,639
2641,고려대역,06호선,640
2642,월곡역,06호선,641
2643,상월곡역,06호선,642
2644,돌곶이역,06호선,643
2645,석계역,06호선,644
2646,태릉입구역,06호선,645
2648,봉화산역,06호선,647
2649,신내역,06호선,648
2711,장암역,07호선,709
2712,도봉산역,07호선,710
2713,수락산역,07호선,711
2714,마들역,07호선,712
2715,노원역,07호선,713
2716,중계역,07호선,714
2719,태릉입구역,07호선,717
0204,을지로4가역,02호선,204
0210,뚝섬역,02호선,210
0245,신답역,02호선,211-2
1027,개포동역,수인분당선,K219
1707,명학역,01호선,P148
2720,먹골역,07호선,718
2721,중화역,07호선,719
2722,상봉역,07호선,720
2723,면목역,07호선,721
2726,중곡역,07호선,724
2727,군자역,07호선,725
2728,어린이대공원역,07호선,726
2730,자양역,07호선,728
2731,청담역,07호선,729
2732,강남구청역,07호선,730
2734,논현역,07호선,732
2736,고속터미널역,07호선,734
2737,내방역,07호선,735
2738,이수역,07호선,736
2739,남성역,07호선,737
2740,숭실대입구역,07호선,738
2741,상도역,07호선,739
2742,장승배기역,07호선,740
2743,신대방삼거리역,07호선,741
2744,보라매역,07호선,742
2745,신풍역,07호선,743
2747,남구로역,07호선,745
0202,을지로입구역,02호선,202
0226,사당역,02호선,226
0328,잠원역,03호선,338
0337,대청역,03호선,347
0426,서울역,04호선,426
0433,사당역,04호선,433
0434,남태령역,04호선,434
1212,양수역,경의선,K130
1312,갈매역,경춘선,P123
2748,가산디지털단지역,07호선,746
2750,광명사거리역,07호선,748
2751,천왕역,07호선,749
2752,온수역,07호선,750
2811,암사역,08호선,810
2812,천호역,08호선,811
2813,강동구청역,08호선,812
2814,몽촌토성역,08호선,813
2815,잠실역,08호선,814
2816,석촌역,08호선,815
2817,송파역,08호선,816
2819,문정역,08호선,818
2820,장지역,08호선,819
2821,복정역,08호선,820
0159,동묘앞역,01호선,127
0203,을지로3가역,02호선,203
0211,성수역,02호선,211
0342,오금역,03호선,352
0412,창동역,04호선,412
0422,동대문역사문화공원역,04호선,422
1002,남영역,01호선,134
1010,한남역,경의선,K113
1218,원덕역,경의선,K136
1758,초지역,04호선,452
2822,산성역,08호선,822
2823,남한산성입구역,08호선,823
2824,단대오거리역,08호선,824
2825,신흥역,08호선,825
2826,수진역,08호선,826
2827,모란역,08호선,827
2828,남위례역,08호선,821
3110,계양역,인천선,I110
3111,귤현역,인천선,I111
3114,계산역,인천선,I114
3115,경인교대입구역,인천선,I115
3116,작전역,인천선,I116
3117,갈산역,인천선,I117
0212,건대입구역,02호선,212
1701,구로역,01호선,141
1724,평택역,01호선,P165
1725,성환역,01호선,P166
1753,반월역,04호선,447
1754,상록수역,04호선,448
3118,부평구청역,인천선,I118
3119,부평시장역,인천선,I119
3120,부평역,인천선,I120
3121,동수역,인천선,I121
3122,부평삼거리역,인천선,I122
3124,인천시청역,인천선,I124
3127,문학경기장역,인천선,I127
3128,선학역,인천선,I128
3129,신연수역,인천선,I129
3131,동춘역,인천선,I131
3133,캠퍼스타운역,인천선,I133
3135,지식정보단지역,인천선,I135
3136,인천대입구역,인천선,I136
3137,센트럴파크역,인천선,I137
3138,국제업무지구역,인천선,I138
3203,검단사거리역,인천2호선,I203
3204,마전역,인천2호선,I204
3205,완정역,인천2호선,I205
3208,검바위역,인천2호선,I208
3212,가정중앙시장역,인천2호선,I212
3215,인천가좌역,인천2호선,I215
3216,가재울역,인천2호선,I216
3217,주안국가산단역,인천2호선,I217
0237,당산역,02호선,237
0249,신정네거리역,02호선,234-3
1022,창동역,01호선,116
1205,구리역,경의선,K123
1251,서울역,경의선,P313
1261,효창공원앞역,경의선,K826
1408,신창역,01호선,P177
1451,경마공원역,04호선,436
1452,대공원역,04호선,437
1455,인덕원역,04호선,440
1702,가산디지털단지역,01호선,P142
1703,금천구청역,01호선,P144
1704,석수역,01호선,P145
1711,성균관대역,01호선,P153
1713,수원역,01호선,P155
1723,평택지제역,01호선,P164
3219,시민공원역,인천2호선,I219
0213,구의역,02호선,213
0416,미아사거리역,04호선,416
1023,선릉역,수인분당선,K215
102C,왕십리역,수인분당선,K210
1031,복정역,수인분당선,K222
1203,망우역,경의선,K121
1263,서강대역,경의선,K313
1265,가좌역,경의선,K315
1266,디지털미디어시티역,경의선,K316
1269,강매역,경의선,K319
1272,곡산역,경의선,K323
1273,백마역,경의선,K324
1274,풍산역,경의선,K325
1276,탄현역,경의선,K327
1277,야당역,경의선,K328
1278,운정역,경의선,K329
1284,문산역,경의선,K335
1401,봉명역,01호선,P170
1403,아산역,01호선,P172
3225,남동구청역,인천2호선,I225
0238,합정역,02호선,238
0423,충무로역,04호선,423
0428,삼각지역,04호선,428
0429,신용산역,04호선,429
1003,용산역,01호선,135
1004,노량진역,01호선,136
1011,옥수역,경의선,K114
1012,응봉역,경의선,K115
1016,외대앞역,01호선,122
1019,광운대역,01호선,119
101C,회기역,경의선,K118
1020,월계역,01호선,118
1032,신길역,01호선,138
105C,곡산역,서해선,S10
1210,팔당역,경의선,K128
1219,용문역,경의선,K137
1264,홍대입구역,경의선,K314
3226,인천대공원역,인천2호선,I226
0250,용두역,02호선,211-3
0329,고속터미널역,03호선,339
0330,교대역,03호선,340
0331,남부터미널역,03호선,341
0338,일원역,03호선,348
0339,수서역,03호선,349
0340,가락시장역,03호선,350
0405,진접역,04호선,405
0406,오남역,04호선,406
0408,별내별가람역,04호선,408
0409,당고개역,04호선,409
0410,상계역,04호선,410
0413,쌍문역,04호선,413
0417,길음역,04호선,417
0418,성신여대입구역,04호선,418
1328,남춘천역,경춘선,P139
0232,구로디지털단지역,02호선,232
0239,홍대입구역,02호선,239
0240,신촌역,02호선,240
0241,이대역,02호선,241
0246,신설동역,02호선,211-4
0247,도림천역,02호선,234-1
0309,지축역,03호선,319
0310,구파발역,03호선,320
0311,연신내역,03호선,321
0312,불광역,03호선,322
0313,녹번역,03호선,323
0314,홍제역,03호선,324
0315,무악재역,03호선,325
0316,독립문역,03호선,326
0317,경복궁역,03호선,327
0200,까치산역,02호선,234-4
0201,시청역,02호선,201
0205,동대문역사문화공원역,02호선,205
0206,신당역,02호선,206
0207,상왕십리역,02호선,207
0214,강변역,02호선,214
0215,잠실나루역,02호선,215
0216,잠실역,02호선,216
0220,선릉역,02호선,220
0221,역삼역,02호선,221
0222,강남역,02호선,222
0223,교대역,02호선,223
0224,서초역,02호선,224
0225,방배역,02호선,225
0227,낙성대역,02호선,227
1402,쌍용역,01호선,P171
0208,왕십리역,02호선,208
0324,금호역,03호선,334
0430,이촌역,04호선,430
1006,영등포역,01호선,139
1320,대성리역,경춘선,P131
1327,김유정역,경춘선,P138
1407,온양온천역,01호선,P176
1453,과천역,04호선,438
1504,경기광주역,경강선,K413
1729,당정역,01호선,P151
1751,산본역,04호선,444
1756,중앙역,04호선,450
0323,약수역,03호선,333
0334,도곡역,03호선,344
1021,녹천역,01호선,117
104C,능곡역,서해선,S12
1213,신원역,경의선,K131
1220,지평역,경의선,K138
1270,행신역,경의선,K320
1275,일산역,경의선,K326
1282,월롱역,경의선,K333
1283,파주역,경의선,K334
1286,운천역,경의선,K336
1306,청량리역,경춘선,P117
1311,신내역,경춘선,P122
1316,금곡역,경춘선,P127
1710,의왕역,01호선,P152
1722,서정리역,01호선,P163
1813,구일역,01호선,142
0332,양재역,03호선,342
1013,왕십리역,경의선,K116
1028,대모산입구역,수인분당선,K220
1267,수색역,경의선,K317
1309,상봉역,경춘선,P120
1318,천마산역,경춘선,P129
1502,이매역,경강선,K411
1717,세마역,01호선,P158
1728,천안역,01호선,P169
