상권_코드_명,MZ세대
가락시장역,11683608
가산디지털단지역 1번 출입구,2311243
가양역 10번,343724
가오리역 1번,5018978
가오리역 2번,3113603
가좌역 2번,4690354
가좌역 3번,744791
"강남구청(청담역_8번, 강남세무서)",4844878
강남구청역,18192171
강남구청역 2번,2711105
강남구청역 4번,6552636
강남역,84282263
강동구청(강동구청역 2번),2095501
강동구청역,9952804
강동역 4번(강풀만화거리),21783934
강변역(테크노마트),1793664
개롱역,8869759
개봉역,3459593
개화산역 1번,495772
거여역,3256789
거여역 1번(거여공원),10079275
거여역 8번,663351
건대입구역 1번,19742510
건대입구역 6번,16435350
건대입구역(건대),31730937
경의중앙 신촌역,7835071
경찰병원역,12749390
경찰병원역 3번,5456580
경찰병원역 4번(건너말공원),2553273
고덕역,2307075
고려대역 4번,6010097
고려대역 6번,13073763
고속터미널(고속터미널역),3521886
공덕역(공덕오거리),11007451
공릉역,4869742
공릉역 2번,11587992
공항시장역 1번,12491053
공항시장역 3번,2421029
광나루역 1번,2743387
광운대역 1번,4445281
광화문역,10151644
광흥창역 1번,1709117
광흥창역 6번,1532965
교대역(법원.검찰청),32336394
구로디지털단지역,13517320
구로디지털단지역 4번,9191957
구로역,5181734
구반포역,278875
구산역,2723878
구산역 1번,9990168
구산역 2번,5884572
구산역 4번,8854818
구의역,12795110
구의역 4번,25183111
구파발역,1687213
국회의사당역(국회의사당),3833769
군자역,19408984
군자역 4번,3969486
군자역 5번,10323573
굽은다리역,3884569
굽은다리역 1번(십자성마을),11590879
굽은다리역 2번,7364602
굽은다리역 3번,2731144
굽은다리역 4번,20236557
금천구청역 1번 출입구,2306965
금호역,5000885
길동역,27227251
길음역 10번,420330
길음역 7번,3844359
길음역 8번,4464455
김포공항역(김포공항),76128
까치산역,17818323
까치산역 1번,14086953
까치산역 3번,45441785
까치산역 4번,19344485
낙성대역 1번(관악구민 종합체육센터),15683140
낙성대역 5번(관악중학교),8908312
남구로역 2번,19879261
남구로역 3번,14182130
남구로역 5번,11577145
남부터미널역,10592097
남부터미널역 1번,7519844
남성역 1번,19490298
남영역 1번,14379698
남태령역(서울전자고등학교),525308
내방역,8287874
내방역 1번,5020006
내방역 4번,4751130
내방역 5번,2134422
내방역 6번,1470681
내방역 8번,3663935
노량진역 6번,14644037
노량진역(노량진),21875123
노원역,30519453
노원역 9번,5355826
논현역,25954603
논현역 4번,17227464
논현역 5번,3219450
논현역 7번,1864954
답십리역 6번,3068675
