기준_년분기_코드,상권_코드_명,총_유동인구_수,MZ세대_유동인구_수,지역 구분
20234,백학시장,785223,317433,외곽
20234,서울중앙시장(신중앙시장),2019863,855042,외곽
20234,약수시장,414647,183437,외곽
20234,신당역,2314714,975907,중심
20234,약수역,1040170,477059,중심
20234,청구역 3번,1040872,514392,중심
20234,청구역 1번,1035907,432890,중심
20234,장충초등학교,636257,288923,외곽
20234,약수역 7번,443321,188017,중심
20234,장충단 고개,631503,315966,외곽
20234,장충동주민센터,971594,466945,외곽
20234,다산성곽길,598690,297086,외곽
20234,버티고개,727156,320086,외곽
20233,백학시장,774224,315928,외곽
20233,서울중앙시장(신중앙시장),2044814,867370,외곽
20233,약수시장,416689,185890,외곽
20233,신당역,2205437,937612,중심
20233,약수역,1017724,472376,중심
20233,청구역 3번,1043509,510187,중심
20233,청구역 1번,1110433,471586,중심
20233,장충초등학교,620193,279675,외곽
20233,약수역 7번,449312,192125,중심
20233,장충단 고개,630665,316742,외곽
20233,장충동주민센터,920316,435264,외곽
20233,다산성곽길,586191,288110,외곽
20233,버티고개,691418,300037,외곽
20232,백학시장,804525,324320,외곽
20232,서울중앙시장(신중앙시장),2153025,929364,외곽
20232,약수시장,433802,195125,외곽
20232,신당역,2311826,988854,중심
20232,약수역,1038149,490084,중심
20232,청구역 3번,1060893,529392,중심
20232,청구역 1번,855092,355831,중심
20232,장충초등학교,639425,293822,외곽
20232,약수역 7번,466220,199761,중심
20232,장충단 고개,726647,373240,외곽
20232,장충동주민센터,946943,447885,외곽
20232,다산성곽길,577092,289173,외곽
20232,버티고개,737635,322491,외곽
20231,백학시장,835920,336511,외곽
20231,서울중앙시장(신중앙시장),2191040,943276,외곽
20231,약수시장,432580,194350,외곽
20231,신당역,2291973,972139,중심
20231,약수역,1035788,486048,중심
20231,청구역 3번,1087043,537443,중심
20231,청구역 1번,798065,325770,중심
20231,장충초등학교,642105,291500,외곽
20231,약수역 7번,449109,194632,중심
20231,장충단 고개,763781,389593,외곽
20231,장충동주민센터,889308,418291,외곽
20231,다산성곽길,590942,293609,외곽
20231,버티고개,733787,315930,외곽
20224,백학시장,810541,320701,외곽
20224,서울중앙시장(신중앙시장),2195988,934322,외곽
20224,약수시장,432102,193487,외곽
20224,신당역,2346281,1007689,중심
20224,약수역,1093077,517473,중심
20224,청구역 3번,1054978,524410,중심
20224,청구역 1번,1065259,456754,중심
