기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20234,D,발달상권,3120249,고덕역,513153,254560,258592,156515,51352,47798,79225,70265,107996,77030,91296,78375,89901,122525,54027,72754,73916,74764,73955,76166,76732,64865
20234,D,발달상권,3120248,명일역,1504781,667229,837552,311931,146774,197208,271851,211172,365846,341813,299523,195046,194238,282561,191601,212525,212787,213654,211853,216180,217870,219915
20234,D,발달상권,3120247,굽은다리역,710160,322544,387616,94210,89014,108650,111599,110496,196192,155662,136629,89447,96070,140286,92064,101038,99489,99839,99347,100471,105806,104170
20234,D,발달상권,3120246,길동역,4412632,2074555,2338077,385856,702266,811697,752263,705000,1055548,1056943,888596,576180,573116,761822,555975,625641,633994,635017,638214,645248,629965,604552
20234,D,발달상권,3120244,암사역,737658,347745,389912,100452,93811,126832,124485,115672,176406,167085,144330,93561,96775,142827,93079,103647,103009,102682,102958,104834,112323,108205
20234,D,발달상권,3120243,천호역,1355682,641704,713979,99101,247539,271414,211324,216879,309427,269766,255503,193508,208461,268533,159912,187525,186249,188346,187706,199023,208032,198800
20234,D,발달상권,3120242,강동구청역,1769097,813750,955347,271208,211504,304794,311598,286320,383674,362963,366070,255478,257663,322655,204267,255311,262083,262120,265532,262294,234146,227609
20234,D,발달상권,3120241,거여역,658749,303102,355647,111451,71665,93177,106575,110078,165805,150300,131847,80758,84482,124858,86504,93506,92502,93082,92660,92809,97342,96848
20234,D,발달상권,3120240,개롱역,1682113,755321,926793,302399,189153,236140,257879,267121,429421,439359,336753,184800,195801,298193,227207,241015,238791,238295,237451,240113,247913,238536
20234,D,발달상권,3120239,오금역,1213742,580714,633028,163398,163200,222293,187985,192060,284809,235180,270184,178998,176251,217477,135654,175453,179709,179892,181567,178764,160795,157560
