기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20191,11140635,약수동,CS100001,한식음식점,62,65,3,2,0,0,3
20191,11140635,약수동,CS100003,일식음식점,4,5,0,0,0,0,1
20191,11140635,약수동,CS100004,양식음식점,2,3,0,0,0,0,1
20191,11140635,약수동,CS100005,제과점,2,7,14,1,14,1,5
20191,11140635,약수동,CS100006,패스트푸드점,0,2,0,0,50,1,2
20191,11140635,약수동,CS100007,치킨전문점,3,7,14,1,0,0,4
20191,11140635,약수동,CS100008,분식전문점,12,15,7,1,0,0,3
20191,11140635,약수동,CS100009,호프-간이주점,6,6,0,0,0,0,0
20191,11140635,약수동,CS100010,커피-음료,9,10,0,0,10,1,1
20191,11140635,약수동,CS200001,일반교습학원,9,11,0,0,9,1,2
20191,11140635,약수동,CS200002,외국어학원,4,4,0,0,0,0,0
20191,11140635,약수동,CS200003,예술학원,11,11,9,1,18,2,0
20191,11140635,약수동,CS200005,스포츠 강습,9,10,0,0,0,0,1
20191,11140635,약수동,CS200006,일반의원,15,15,0,0,0,0,0
20191,11140635,약수동,CS200007,치과의원,11,11,0,0,0,0,0
20191,11140635,약수동,CS200008,한의원,9,9,0,0,0,0,0
20191,11140635,약수동,CS200009,동물병원,4,4,0,0,0,0,0
20191,11140635,약수동,CS200010,변호사사무소,1,1,0,0,0,0,0
20191,11140635,약수동,CS200012,법무사사무소,1,1,0,0,0,0,0
20191,11140635,약수동,CS200013,기타법무서비스,1,1,0,0,0,0,0
20191,11140635,약수동,CS200015,세무사사무소,4,4,0,0,0,0,0
20191,11140635,약수동,CS200016,당구장,5,5,0,0,0,0,0
20191,11140635,약수동,CS200017,골프연습장,2,2,0,0,0,0,0
20191,11140635,약수동,CS200019,PC방,3,3,0,0,0,0,0
20191,11140635,약수동,CS200022,복권방,1,1,0,0,0,0,0
20191,11140635,약수동,CS200023,통신기기수리,3,3,0,0,0,0,0
20191,11140635,약수동,CS200024,스포츠클럽,1,1,0,0,0,0,0
20191,11140635,약수동,CS200027,모터사이클수리,1,1,0,0,0,0,0
20191,11140635,약수동,CS200028,미용실,32,34,3,1,6,2,2
20191,11140635,약수동,CS200029,네일숍,6,6,0,0,0,0,0
20191,11140635,약수동,CS200030,피부관리실,13,13,8,1,0,0,0
20191,11140635,약수동,CS200031,세탁소,11,14,0,0,0,0,3
20191,11140635,약수동,CS200032,가전제품수리,2,2,0,0,0,0,0
20191,11140635,약수동,CS200033,부동산중개업,52,52,2,1,2,1,0
20191,11140635,약수동,CS200034,여관,3,3,0,0,0,0,0
20191,11140635,약수동,CS200037,노래방,7,7,0,0,0,0,0
20191,11140635,약수동,CS200038,독서실,2,3,0,0,33,1,1
20191,11140635,약수동,CS200041,사진관,8,8,0,0,13,1,0
20191,11140635,약수동,CS200042,통번역서비스,2,2,0,0,0,0,0
20191,11140635,약수동,CS200043,건축물청소,1,1,0,0,0,0,0
20191,11140635,약수동,CS200044,여행사,2,2,50,1,0,0,0
20191,11140635,약수동,CS200045,비디오/서적임대,1,1,0,0,0,0,0
20191,11140635,약수동,CS200046,의류임대,1,1,0,0,0,0,0
20191,11140635,약수동,CS200047,가정용품임대,1,1,0,0,0,0,0
20191,11140635,약수동,CS300001,슈퍼마켓,17,18,0,0,0,0,1
20191,11140635,약수동,CS300002,편의점,2,13,8,1,8,1,11
20191,11140635,약수동,CS300003,컴퓨터및주변장치판매,6,6,0,0,0,0,0
20191,11140635,약수동,CS300004,핸드폰,7,7,0,0,0,0,0
20191,11140635,약수동,CS300006,미곡판매,2,2,0,0,0,0,0
20191,11140635,약수동,CS300007,육류판매,8,8,13,1,0,0,0
20191,11140635,약수동,CS300008,수산물판매,4,4,0,0,0,0,0
20191,11140635,약수동,CS300009,청과상,5,5,0,0,0,0,0
20191,11140635,약수동,CS300010,반찬가게,9,10,10,1,0,0,1
20191,11140635,약수동,CS300011,일반의류,42,42,5,2,2,1,0
20191,11140635,약수동,CS300013,유아의류,6,6,0,0,0,0,0
20191,11140635,약수동,CS300014,신발,2,2,0,0,0,0,0
20191,11140635,약수동,CS300015,가방,3,3,0,0,0,0,0
20191,11140635,약수동,CS300016,안경,3,3,0,0,0,0,0
20191,11140635,약수동,CS300017,시계및귀금속,2,2,0,0,0,0,0
20191,11140635,약수동,CS300018,의약품,14,15,7,1,0,0,1
20191,11140635,약수동,CS300019,의료기기,4,4,0,0,0,0,0
20191,11140635,약수동,CS300020,서적,7,8,0,0,13,1,1
20191,11140635,약수동,CS300021,문구,2,3,0,0,0,0,1
20191,11140635,약수동,CS300022,화장품,18,25,0,0,4,1,7
20191,11140635,약수동,CS300024,운동/경기용품,4,4,0,0,0,0,0
20191,11140635,약수동,CS300026,완구,1,1,0,0,0,0,0
20191,11140635,약수동,CS300027,섬유제품,5,5,0,0,0,0,0
20191,11140635,약수동,CS300028,화초,9,9,0,0,0,0,0
