기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20191,11140635,약수동,2202172,997479,1204692,262835,276184,368610,333090,301601,659851,565303,448794,258610,260335,377764,291364,310315,308070,308760,308724,308630,325042,332631
20192,11140635,약수동,1432521,647436,785085,176974,179326,238589,216082,195692,425857,373875,292195,165371,166787,243478,190816,201936,199403,200412,202003,202603,210006,216159
20193,11140635,약수동,2544641,1157732,1386909,308556,321005,411089,385100,354596,764295,682414,529255,291475,289644,418643,333211,361151,359838,359879,355743,354130,370232,383666
20194,11140635,약수동,2709714,1235161,1474553,323414,340700,441257,424034,381071,799240,714631,565026,314373,311276,451382,353025,382203,377083,381508,380250,380626,397470,410575
20201,11140635,약수동,2820085,1276495,1543590,335560,361067,459139,441136,403931,819252,714830,585139,341834,338998,479145,360139,396853,395843,397536,395691,397840,413863,422461
20202,11140635,약수동,2823293,1278191,1545103,342711,362296,459336,434913,403124,820912,713682,586177,341730,339650,480779,361276,398767,398803,398022,397468,398191,411130,420912
20203,11140635,약수동,2776374,1275712,1500663,341780,347192,446656,428127,399306,813315,702562,575001,337077,335603,472241,353890,393385,390141,393551,392861,391713,404540,410186
20204,11140635,약수동,2653745,1221741,1432004,326214,320674,431509,418868,381432,775047,679464,546738,316730,316245,452711,341855,376819,375556,375804,375682,373190,383459,393236
20211,11140635,약수동,2561138,1187974,1373165,316522,313542,418454,397465,370779,744378,648611,527998,307878,308075,439307,329267,363330,362768,361998,361088,362713,372074,377168
20212,11140635,약수동,2494939,1162424,1332514,320343,315650,415609,383952,354915,704470,633786,511901,296044,298259,430338,324612,353385,351353,354227,352181,351949,362616,369226
20213,11140635,약수동,2388090,1109673,1278418,305190,308613,393260,361219,346569,673239,585393,488084,291247,295614,419091,308663,339210,339158,339048,336552,340825,345743,347554
20214,11140635,약수동,2287893,1067897,1219996,285971,296830,380830,352213,338695,633354,562133,467184,277456,282135,402848,296138,325298,322894,322624,322211,323814,333072,337979
20221,11140635,약수동,2328694,1089106,1239589,303470,305052,389161,354496,341741,634775,570638,477978,285358,288863,407547,298312,328937,326690,329664,329363,329655,340559,343829
20222,11140635,약수동,2308272,1083277,1224995,301790,300002,390920,350788,336764,628008,554801,467563,281748,289850,415449,298861,329073,325710,325284,325079,327000,336099,340027
20223,11140635,약수동,2304965,1078246,1226718,291285,307196,393741,354727,335584,622432,524053,460245,291010,301842,430984,296833,326206,326257,326181,326046,327579,334178,338518
20224,11140635,약수동,2194188,1016057,1178133,269291,283695,382685,340133,322399,595985,505313,438042,272570,284754,409110,284399,308658,308110,308303,308884,312832,322669,324731
20231,11140635,약수동,2125755,975967,1149789,265215,268851,369875,332913,308035,580866,489147,425264,267273,276637,393696,273738,298367,298971,301210,299226,303038,311004,313939
20232,11140635,약수동,2083690,957920,1125770,261987,254147,370795,329347,305297,562117,481749,417097,258859,268709,386662,270615,294985,293405,293949,293593,297730,303243,306785
20233,11140635,약수동,2033005,940752,1092253,250510,246818,362825,322061,307700,543090,466406,406894,256847,263673,376735,262450,287566,285836,287169,286261,289254,294910,302006
20234,11140635,약수동,2038459,938121,1100339,245085,254010,362276,327381,308050,541659,469807,410664,256457,264498,376403,260630,285796,285691,287097,286684,291989,301328,299873
20191,11200590,금호1가동,4271714,1907975,2363739,719839,420015,773516,684762,595657,1077925,1087673,875921,487656,510242,752323,557897,593272,596021,595584,589490,591200,645564,660582
20191,11200615,금호2?3가동,6952366,3238501,3713865,1302159,740844,1143261,1053499,928392,1784213,2086128,1455311,705198,685420,1061789,958520,978848,978795,975386,968922,973283,1024630,1052502
20191,11200620,금호4가동,2905304,1357578,1547725,464429,307550,479304,443061,410504,800457,696005,582395,341449,365898,541766,377789,403247,402774,403819,403221,407083,441808,443352
20192,11200590,금호1가동,2702603,1181876,1520727,453874,262843,496177,436503,373621,679585,705650,553500,300595,316546,473849,352464,376971,367925,372703,374269,379134,418631,412969
20192,11200615,금호2?3가동,4284935,1964602,2320332,762980,460571,722298,668296,577930,1092858,1301558,875065,417963,415885,665322,609143,599528,601775,606495,608044,596682,613534,658876
20192,11200620,금호4가동,1876875,869323,1007552,294264,198946,322301,295510,261196,504657,460760,373924,213409,230944,348916,248920,258280,257271,262137,264652,261778,280685,292072
20193,11200590,금호1가동,3917668,1735202,2182465,644965,382433,718232,645729,556595,969712,986737,791698,446435,471015,699816,521968,551364,546347,548454,546996,542554,580505,601447
20193,11200615,금호2?3가동,6555466,2998676,3556790,1165123,718435,1096793,1038436,888566,1648112,1917801,1342880,674432,671930,1035669,912751,915059,926403,930074,921904,913387,958912,989727
20193,11200620,금호4가동,3244660,1500761,1743899,513043,346439,565858,515006,451675,852638,820556,660915,368717,388286,578946,427239,450308,454667,460531,455169,453472,482420,488095
20194,11200590,금호1가동,3917884,1737875,2180010,654360,374080,721137,651575,556911,959820,988251,791527,443642,471348,701167,521950,544405,543511,548977,552000,542808,586724,599459
20194,11200615,금호2?3가동,6748754,3061773,3686981,1208172,731825,1145272,1071250,912021,1680210,1972872,1380940,684172,686357,1079676,944736,946027,937062,958736,949693,939390,990521,1027327
20194,11200620,금호4가동,3249211,1492028,1757183,528914,333043,564100,509618,457980,855558,824684,660107,365255,389259,581975,427931,448873,446105,452276,458214,455159,489383,499202
20201,11200590,금호1가동,4082172,1814224,2267949,684808,406572,747976,687321,564428,991066,1007074,821831,482029,506940,731938,532360,572589,570371,571081,567451,566291,612360,622030
20201,11200615,금호2?3가동,7030499,3211918,3818581,1311304,781156,1176784,1109950,954202,1697104,1953956,1441703,766083,761823,1147713,959222,994089,986164,997927,988129,984685,1025689,1053816
20201,11200620,금호4가동,3242120,1490777,1751342,522532,346190,561875,504459,461509,845553,816210,660933,377357,392311,575998,419308,455571,451359,448905,453909,457128,485115,490130
20202,11200590,금호1가동,3889858,1715530,2174328,649822,387507,711407,659563,538739,942822,956995,782032,456908,482576,703935,507414,544058,542566,542908,541624,542598,582348,593755
20202,11200615,금호2?3가동,6613940,3029773,3584167,1258632,744483,1070581,1055610,907377,1577256,1825818,1349867,725868,724548,1084791,903048,934667,929511,931107,931215,929411,968309,989721
20202,11200620,금호4가동,3582109,1626842,1955268,567268,386579,635068,578839,504269,910086,893979,719624,415384,435895,645740,471486,500485,499065,499332,502999,502501,535724,542001
20203,11200590,금호1가동,3758939,1657477,2101464,623401,364710,695462,641802,518990,914574,919286,755805,444385,467424,682387,489655,526154,525167,524703,525128,523192,562455,572140
20203,11200615,금호2?3가동,6492655,2972499,3520155,1199082,720939,1056180,1031933,915807,1568713,1776913,1315093,717228,720344,1077156,885921,919847,909580,916038,912454,910255,951201,973280
20203,11200620,금호4가동,3580695,1611902,1968792,560502,387165,638974,579014,508598,906443,877615,713425,419482,441066,656250,472855,501472,497518,501474,500367,502478,537497,539889
20204,11200590,금호1가동,3912815,1726747,2186068,652818,368475,741276,679689,530218,940338,979393,790630,455332,476945,700104,510410,549228,542947,544309,544225,545769,585058,601277
