기준_년분기_코드,행정동_명,총_유동인구_수,MZ세대
20191,신당동,6320342,2356180
20191,다산동,4692732,1543697
20191,약수동,2202172,644794
20191,청구동,3911798,1134881
20191,신당5동,5075589,1557358
20191,동화동,2948706,826869
20192,신당동,4250794,1581366
20192,다산동,3094943,1018989
20192,약수동,1432521,417915
20192,청구동,2510987,722300
20192,신당5동,3245142,1025429
20192,동화동,1883001,531536
20193,신당동,5940463,2239879
20193,다산동,4627692,1558521
20193,약수동,2544641,732094
20193,청구동,3499897,1000930
20193,신당5동,4939129,1577545
20193,동화동,2582312,746585
20194,신당동,6088089,2326686
20194,다산동,4556810,1568158
20194,약수동,2709714,781957
20194,청구동,3574169,999475
20194,신당5동,5334809,1651267
20194,동화동,2738064,775252
20201,신당동,6030407,2291141
20201,다산동,4632750,1590765
20201,약수동,2820085,820206
20201,청구동,3733581,1084128
20201,신당5동,4964450,1534637
20201,동화동,3091253,870541
20202,신당동,5950993,2258891
20202,다산동,4559353,1561731
20202,약수동,2823293,821632
20202,청구동,3761188,1114066
20202,신당5동,5098130,1599135
20202,동화동,3139947,903637
20203,신당동,5790153,2216743
20203,다산동,4545314,1557479
20203,약수동,2776374,793848
20203,청구동,3770634,1126850
20203,신당5동,4981455,1572599
20203,동화동,3106582,899383
20204,신당동,5751376,2190575
20204,다산동,4449658,1517444
20204,약수동,2653745,752183
20204,청구동,3765743,1126432
20204,신당5동,4847489,1539631
20204,동화동,2963270,858674
20211,신당동,5564426,2107913
20211,다산동,4430567,1485176
20211,약수동,2561138,731996
20211,청구동,3785824,1133533
20211,신당5동,4773473,1529078
20211,동화동,2912356,844803
20212,신당동,5809012,2187085
20212,다산동,4426072,1494439
20212,약수동,2494939,731259
20212,청구동,3611179,1068489
20212,신당5동,4748354,1526765
20212,동화동,2838487,825700
20213,신당동,5809273,2199303
20213,다산동,4077638,1357644
20213,약수동,2388090,701873
20213,청구동,3325722,999706
20213,신당5동,4785231,1539496
20213,동화동,2545658,747879
20214,신당동,6048726,2305613
20214,다산동,4106836,1385566
20214,약수동,2287893,677660
20214,청구동,3252604,973988
20214,신당5동,4862802,1577597
20214,동화동,2454302,713728
20221,신당동,5806240,2187371
20221,다산동,4072270,1380714
20221,약수동,2328694,694213
20221,청구동,3269723,969932
20221,신당5동,4743028,1531199
20221,동화동,2472955,712551
20222,신당동,6096949,2274012
20222,다산동,4295974,1462305
20222,약수동,2308272,690922
20222,청구동,3206609,929572
20222,신당5동,4674236,1514500
20222,동화동,2637631,760512
20223,신당동,5775806,2203092
20223,다산동,4121578,1408127
20223,약수동,2304965,700937
20223,청구동,3154034,917957
20223,신당5동,4184784,1352681
20223,동화동,2868966,846767
20224,신당동,6102354,2354569
20224,다산동,4286232,1468566
20224,약수동,2194188,666380
20224,청구동,3281357,947546
20224,신당5동,3922010,1285087
20224,동화동,3289273,949684
20231,신당동,5752925,2208017
20231,다산동,4291608,1467142
20231,약수동,2125755,638726
20231,청구동,3347230,972206
20231,신당5동,3970529,1291382
20231,동화동,3419860,974000
20232,신당동,6048607,2343439
20232,다산동,4286243,1456115
20232,약수동,2083690,624942
20232,청구동,3321724,965515
20232,신당5동,3839049,1240471
20232,동화동,3263410,929301
20233,신당동,5954272,2300921
20233,다산동,4138947,1405788
20233,약수동,2033005,609643
20233,청구동,3292410,965361
20233,신당5동,3692785,1202016
20233,동화동,3105627,872431
20234,신당동,5797143,2209328
20234,다산동,4297086,1474755
20234,약수동,2038459,616286
20234,청구동,3291551,960844
20234,신당5동,3723350,1202510
20234,동화동,3369049,959302
20191,황학동,6278235,2087926
20192,황학동,4167950,1414658
20193,황학동,5756269,1993333
20194,황학동,6351931,2213582
20201,황학동,6199908,2204035
20202,황학동,6372212,2303720
20203,황학동,6076198,2230579
20204,황학동,6000529,2196681
20211,황학동,6074817,2215254
20212,황학동,6150455,2209739
20213,황학동,5774844,2108109
20214,황학동,5927577,2190152
20221,황학동,6174659,2293788
20222,황학동,6282385,2302743
20223,황학동,5902013,2155885
20224,황학동,5816714,2152255
20231,황학동,5881569,2178238
20232,황학동,6001117,2215519
20233,황학동,5956174,2188483
20234,황학동,6020858,2214499
