기준일ID,시간대구분,행정동코드,총생활인구수
20190101,0,11440660,85319.3234
20190101,0,11440710,22737.2502
20190101,1,11440660,80922.7732
20190101,1,11440710,22821.4039
20190101,2,11440660,77490.9644
20190101,2,11440710,22617.8745
20190101,3,11440660,73845.9986
20190101,3,11440710,22338.8186
20190101,4,11440660,70947.9872
20190101,4,11440710,22184.1759
20190101,5,11440660,65852.1103
20190101,5,11440710,21846.758
20190101,6,11440660,57811.8468
20190101,6,11440710,21350.6256
20190101,7,11440660,53831.4706
20190101,7,11440710,20804.0594
20190101,8,11440660,53703.1319
20190101,8,11440710,20690.8114
20190101,9,11440660,54436.7728
20190101,9,11440710,20722.8836
20190101,10,11440660,56229.7141
20190101,10,11440710,20208.3484
20190101,11,11440660,60860.1348
20190101,11,11440710,20396.266
20190101,12,11440660,68458.5588
20190101,12,11440710,20149.6308
20190101,13,11440660,75801.4848
20190101,13,11440710,20415.3087
20190101,14,11440660,82035.0413
20190101,14,11440710,20747.2006
20190101,15,11440660,86714.9912
20190101,15,11440710,20631.8786
20190101,16,11440660,90678.7853
20190101,16,11440710,20458.457
20190101,17,11440660,93280.3545
20190101,17,11440710,20612.1226
20190101,18,11440660,93201.0547
20190101,18,11440710,21131.3117
20190101,19,11440660,90759.3397
20190101,19,11440710,21087.0472
20190101,20,11440660,85555.8613
20190101,20,11440710,21552.8098
20190101,21,11440660,78186.9785
20190101,21,11440710,21482.7532
20190101,22,11440660,68047.6264
20190101,22,11440710,21595.7499
20190101,23,11440660,52344.5168
20190101,23,11440710,23485.9495
20190102,0,11440660,49390.6775
20190102,0,11440710,23445.6121
20190102,1,11440660,48044.8045
20190102,1,11440710,23281.3387
20190102,2,11440660,46828.6306
20190102,2,11440710,23241.143
20190102,3,11440660,45960.1281
20190102,3,11440710,23182.5627
20190102,4,11440660,45647.6887
20190102,4,11440710,23119.3567
20190102,5,11440660,45514.8529
20190102,5,11440710,22875.915
20190102,6,11440660,45905.2474
20190102,6,11440710,22410.6625
20190102,7,11440660,50090.0769
20190102,7,11440710,21305.2297
20190102,8,11440660,60334.4201
20190102,8,11440710,19522.3891
20190102,9,11440660,71314.0679
20190102,9,11440710,19104.0104
20190102,10,11440660,78318.5635
20190102,10,11440710,18624.558
20190102,11,11440660,84742.9987
20190102,11,11440710,18541.388
20190102,12,11440660,92150.413
20190102,12,11440710,18571.3279
20190102,13,11440660,98378.0328
20190102,13,11440710,18894.5237
20190102,14,11440660,102426.5527
20190102,14,11440710,18726.3878
20190102,15,11440660,105595.8953
20190102,15,11440710,18885.7833
20190102,16,11440660,108820.7507
20190102,16,11440710,19192.3877
20190102,17,11440660,112342.4661
20190102,17,11440710,19915.0308
20190102,18,11440660,113015.102
20190102,18,11440710,20640.0249
20190102,19,11440660,110573.3092
20190102,19,11440710,21371.4561
20190102,20,11440660,103959.1612
20190102,20,11440710,21878.9365
20190102,21,11440660,93230.4666
20190102,21,11440710,21632.8097
20190102,22,11440660,77539.4531
20190102,22,11440710,21622.2225
20190102,23,11440660,57300.5561
20190102,23,11440710,23349.8556
20190103,0,11440660,52916.4241
20190103,0,11440710,23248.57
20190103,1,11440660,51315.9999
20190103,1,11440710,23115.6561
20190103,2,11440660,49651.4547
20190103,2,11440710,23021.3318
20190103,3,11440660,48579.5432
20190103,3,11440710,23084.0832
20190103,4,11440660,47961.4461
20190103,4,11440710,22977.3788
20190103,5,11440660,47997.2735
20190103,5,11440710,22797.258
20190103,6,11440660,48401.3675
20190103,6,11440710,22266.4042
20190103,7,11440660,52210.6526
20190103,7,11440710,21190.0883
20190103,8,11440660,62030.2854
20190103,8,11440710,19707.8854
20190103,9,11440660,73425.4812
20190103,9,11440710,18908.4442
20190103,10,11440660,80252.4801
20190103,10,11440710,18782.4269
20190103,11,11440660,86670.3961
20190103,11,11440710,18457.961
20190103,12,11440660,93402.7326
20190103,12,11440710,18704.0867
20190103,13,11440660,98606.1195
20190103,13,11440710,19291.2475
20190103,14,11440660,103414.2532
20190103,14,11440710,19280.7628
20190103,15,11440660,106449.2927
20190103,15,11440710,19762.8632
20190103,16,11440660,109537.9277
20190103,16,11440710,19953.6202
20190103,17,11440660,112447.7128
20190103,17,11440710,20446.8927
20190103,18,11440660,115777.0447
20190103,18,11440710,20745.4026
20190103,19,11440660,113833.9533
20190103,19,11440710,21770.9029
