"날짜","요일","시간","성별","연령","유형","방문수"
"2023-08-28","월요일","10","","","pass","993"
"2023-08-28","월요일","11","","","pass","1927"
"2023-08-28","월요일","12","","","pass","2601"
"2023-08-28","월요일","13","","","pass","2616"
"2023-08-28","월요일","14","","","pass","2495"
"2023-08-28","월요일","15","","","pass","2552"
"2023-08-28","월요일","16","","","pass","2561"
"2023-08-28","월요일","17","","","pass","1935"
"2023-08-28","월요일","18","","","pass","1770"
"2023-08-28","월요일","19","","","pass","1727"
"2023-08-28","월요일","20","","","pass","1528"
"2023-08-28","월요일","21","","","pass","906"
"2023-08-28","월요일","22","","","pass","13"
"2023-08-28","월요일","23","","","pass","18"
"2023-08-29","화요일","8","","","pass","16"
"2023-08-29","화요일","9","","","pass","17"
"2023-08-29","화요일","10","","","pass","491"
"2023-08-29","화요일","11","","","pass","949"
"2023-08-29","화요일","12","","","pass","1420"
"2023-08-29","화요일","13","","","pass","2075"
"2023-08-29","화요일","16","","","pass","1124"
"2023-08-29","화요일","17","","","pass","1064"
"2023-08-29","화요일","18","","","pass","1556"
"2023-08-29","화요일","19","","","pass","1627"
"2023-08-29","화요일","20","","","pass","1122"
"2023-08-29","화요일","21","","","pass","823"
"2023-08-29","화요일","22","","","pass","79"
"2023-08-29","화요일","23","","","pass","29"
"2023-08-30","수요일","0","","","pass","2"
"2023-08-30","수요일","1","","","pass","7"
"2023-08-30","수요일","2","","","pass","5"
"2023-08-30","수요일","3","","","pass","4"
"2023-08-30","수요일","4","","","pass","7"
"2023-08-30","수요일","5","","","pass","39"
"2023-08-30","수요일","6","","","pass","7"
"2023-08-30","수요일","7","","","pass","24"
"2023-08-30","수요일","8","","","pass","18"
"2023-08-30","수요일","9","","","pass","256"
"2023-08-30","수요일","10","","","pass","858"
"2023-08-30","수요일","11","","","pass","1353"
"2023-08-30","수요일","12","","","pass","1449"
"2023-08-30","수요일","13","","","pass","1643"
"2023-08-30","수요일","14","","","pass","776"
"2023-08-30","수요일","15","","","pass","1088"
"2023-08-30","수요일","16","","","pass","1454"
"2023-08-30","수요일","17","","","pass","870"
"2023-08-30","수요일","18","","","pass","630"
"2023-08-30","수요일","19","","","pass","890"
"2023-08-30","수요일","20","","","pass","951"
"2023-08-30","수요일","21","","","pass","88"
"2023-08-30","수요일","22","","","pass","1"
"2023-08-31","목요일","0","","","pass","1"
"2023-08-31","목요일","7","","","pass","1"
"2023-08-31","목요일","9","","","pass","10"
"2023-08-31","목요일","10","","","pass","1036"
"2023-08-31","목요일","11","","","pass","1885"
"2023-08-31","목요일","12","","","pass","1451"
"2023-08-31","목요일","13","","","pass","1797"
"2023-08-31","목요일","14","","","pass","2556"
"2023-08-31","목요일","15","","","pass","2236"
"2023-08-31","목요일","16","","","pass","2245"
"2023-08-31","목요일","17","","","pass","1700"
"2023-08-31","목요일","18","","","pass","1529"
"2023-08-31","목요일","19","","","pass","1747"
"2023-08-31","목요일","20","","","pass","1511"
"2023-08-31","목요일","21","","","pass","926"
"2023-08-31","목요일","22","","","pass","378"
"2023-08-31","목요일","23","","","pass","286"
"2023-09-01","금요일","9","","","pass","47"
"2023-09-01","금요일","10","","","pass","1062"
"2023-09-01","금요일","11","","","pass","1724"
"2023-09-01","금요일","12","","","pass","2325"
"2023-09-01","금요일","13","","","pass","2838"
"2023-09-01","금요일","14","","","pass","2594"
"2023-09-01","금요일","15","","","pass","1720"
"2023-09-01","금요일","16","","","pass","1506"
"2023-09-01","금요일","17","","","pass","1058"
"2023-09-01","금요일","18","","","pass","765"
"2023-09-01","금요일","19","","","pass","1311"
"2023-09-01","금요일","20","","","pass","2044"
"2023-09-01","금요일","21","","","pass","912"
"2023-09-01","금요일","22","","","pass","1"
"2023-09-02","토요일","10","","","pass","822"
"2023-09-02","토요일","11","","","pass","1768"
"2023-09-02","토요일","12","","","pass","2370"
"2023-09-02","토요일","13","","","pass","3831"
"2023-09-02","토요일","14","","","pass","4185"
"2023-09-02","토요일","15","","","pass","3707"
"2023-09-02","토요일","16","","","pass","3524"
"2023-09-02","토요일","17","","","pass","3759"
"2023-09-02","토요일","18","","","pass","3393"
"2023-09-02","토요일","19","","","pass","2938"
"2023-09-02","토요일","20","","","pass","2781"
"2023-09-02","토요일","21","","","pass","1921"
"2023-09-02","토요일","22","","","pass","38"
"2023-09-02","토요일","23","","","pass","1"
"2023-09-03","일요일","9","","","pass","2"
"2023-09-03","일요일","10","","","pass","1250"
"2023-09-03","일요일","11","","","pass","2568"
"2023-09-03","일요일","12","","","pass","3363"
