매장,매장명,판매일자,전표번호,브랜드명,카테고리,판매상품,결제수단,판매금액,환불금액,판매수량,환불수량,본사바코드,비고
M012,이마트_월계점,2024-01-01,11078,마니,여성의류,누빔바지,카드,69000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11020,마니,여성의류,티셔츠,카드,,19900,,1,B235KA99400000F,12/31 판매분
M012,이마트_월계점,2024-01-01,11033,마니,여성의류,골덴바지,카드,27000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11058,마니,여성의류,-,,,19900,,1,B235KA99400000F,당일취소건 추정
M012,이마트_월계점,2024-01-01,11034,마니,여성의류,골덴바지,카드,27000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11045,마니,여성의류,조끼,카드,19900,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11072,마니,여성의류,가디건,현금,29900,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11064,마니,여성의류,목폴라,상품권,19900,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11055,마니,여성의류,가디건,카드,19900,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11082,마니,여성의류,가디건,카드,29900,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11009,마니,여성의류,"골덴바지, 면바지","상품권, 카드",46900,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11051,마니,여성의류,티셔츠,카드,19900,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11010,마니,여성의류,골덴바지,카드,27000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11025,마니,여성의류,가디건,카드,19900,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11005,마니,여성의류,"골덴바지, 티셔츠",카드,46900,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11039,마니,여성의류,누빔스커트(아이보리),카드,69900,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11053,마니,여성의류,면바지,카드,19900,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11035,마니,여성의류,"후드티, 조끼(아이보리)",카드,71900,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11076,마니,여성의류,가디건,카드,29900,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11059,마니,여성의류,가디건,카드,19900,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11061,마니,여성의류,가디건,카드,19900,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-01,11075,마니,여성의류,-,,19900,,1,,B235KA99400000F,당일취소건 추정
M012,이마트_월계점,2024-01-01,11063,세영유니온,여성 모자,모자,카드,29000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-01,11029,세영유니온,여성 모자,H에코퍼쁘띠(그레이),카드,15000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-01,11019,세영유니온,여성 모자,H에코퍼쁘띠(베이지),카드,15000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-01,11025,세영유니온,여성 모자,캐시터치머플러(그린),카드,15000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-01,11003,세영유니온,여성 모자,귀마개(베이지),카드,15000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-01,11002,세영유니온,여성 모자,모자,카드,29000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-01,11012,세영유니온,여성 모자,모자,카드,49001,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-01,11001,세영유니온,여성 모자,모자,카드,29000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-01,11014,세영유니온,여성 모자,모자,카드,49000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-01,11041,세영유니온,여성 모자,모자,카드,29000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-01,11015,세영유니온,여성 모자,모자,카드,29000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-01,11042,세영유니온,여성 모자,H에코퍼쁘띠(베이지),카드,15000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-01,11013,세영유니온,여성 모자,모자,카드,,49001,,1,B225KA02400000F,가격 오류 추정(49000원)
M012,이마트_월계점,2024-01-01,11030,오브원,홈웨어,여set,카드,78000,,2,,B225KA04100000F,
M012,이마트_월계점,2024-01-01,11027,오브원,홈웨어,여체크바지,현금,19000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-01,11056,오브원,홈웨어,여하의,카드,29000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-01,11017,오브원,홈웨어,"남하의, 여하의",카드,38000,,2,,B225KA04100000F,
M012,이마트_월계점,2024-01-01,11016,오브원,홈웨어,"여하의, 여체크바지",카드,48000,,2,,B225KA04100000F,
M012,이마트_월계점,2024-01-01,11078,오브원,홈웨어,여하의,카드,19000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-01,11066,오브원,홈웨어,여하의,카드,19000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-01,11048,오브원,홈웨어,여set,카드,39000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-01,11043,윈드스카프,양말,니트양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-01,11045,윈드스카프,양말,양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-01,11022,윈드스카프,양말,양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-01,11004,윈드스카프,양말,니트양말3,현금,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-01,11071,윈드스카프,양말,니트양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-01,11021,윈드스카프,양말,양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-01,11070,윈드스카프,양말,양말3,상품권,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-01,11023,윈드스카프,양말,니트양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-01,11035,윈드스카프,양말,"니트1, 기능성2",카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-01,11046,윈드스카프,양말,니트양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-01,11069,윈드스카프,양말,니트양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-01,11079,윈드스카프,양말,"양말6, 니트양말3",상품권,30000,,3,,B235KA78500000F,
M012,이마트_월계점,2024-01-01,11065,윈드스카프,양말,양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-01,11044,팔레트슬라임,슬라임,슬라임,카드,22400,,2,,B235KB67500000F,"8900원 1개, 13500원 1개"
M012,이마트_월계점,2024-01-01,11024,팔레트슬라임,슬라임,슬라임,카드,9900,,1,,B235KB67500000F,
