구분,팝업스토어,기간,시작 날짜,종료 날짜,권역,위치,태그
F&B,우무 팝업스토어,24.01.01 - 24.02.29,24.01.01,24.02.29,제주,제주특별자치도 제주시 공항로 2 제주국제공항 1층 3번 게이트 앞,"푸딩, 디저트, 굿즈, 콜라보, 뷰티, 코스메틱, 비누, 선물, 전시, 체험"
뷰티,셀바티코 팝업스토어 in 더현대서울,24.01.02 - 24.01.11,24.01.02,24.01.11,여의도,서울특별시 영등포구 여의대로 108 파크원 1층 GATE 3 앞,"바디케어, 비누, 캔들, 바디워시, 핸드워시, 핸드크림, 향, 유럽, 럭셔리"
뷰티,셀바티코 팝업스토어 in 현대무역점,24.01.02 - 24.01.21,24.01.02,24.01.21,강남,서울특별시 강남구 테헤란로 517 현대백화점 무역센터점 7층 에스컬레이터 옆 보이드,"바디케어, 비누, 캔들, 바디워시, 핸드워시, 핸드크림, 향, 유럽, 럭셔리"
뷰티,해피새해용 팝업,24.01.02 - 24.01.31,24.01.02,24.01.31,성수,서울특별시 성동구 아차산로11길 7 (주)아세아이엔티 아모레성수,"새해, 선물, 뷰티, 코스메틱, 전시, 메이크업, 체험"
F&B,레자미오네뜨 팝업스토어,24.01.02 - 24.01.24,24.01.02,24.01.24,강남,서울특별시 서초구 신반포로 176 센트럴시티 신세계백화점 강남점 B1,"붕어빵, 크붕이, 베이커리, 빵, 디저트"
캐릭터/IP,테디베어 팝업스토어,24.01.02 - 24.02.29,24.01.02,24.02.29,명동,서울특별시 중구 남대문로 67 롯데영플라자 롯데백화점 본점 영플라자 5F,"인형, 굿즈, 포토존, 캐릭터, 곰"
반려동물/식물,PETHROOM POP-UP STORE,24.01.03 - 24.01.23,24.01.03,24.01.23,강남,서울특별시 강남구 압구정로 343 갤러리아백화점 5층,"강아지, 고양이, 반려동물, 애견용품"
뷰티,토일렛페이퍼뷰티 팝업스토어 in 갤러리아 압구정,24.01.03 - 24.01.19,24.01.03,24.01.19,강남,서울특별시 강남구 압구정로 407 갤러리아백화점 명품관EAST 1층,"샴푸, 핸드워시, 바디워시, 캔들, 비누, 립밤, 디퓨저, 향, 파자마"
뷰티,셀바티코 팝업스토어 in 현대천호점,24.01.03 - 24.01.28,24.01.03,24.01.28,강동,서울특별시 강동구 천호대로 1005 현대백화점 1층 행사장,"바디케어, 비누, 캔들, 바디워시, 핸드워시, 핸드크림, 향, 유럽"
향수/향,로렌조 빌로레시 팝업스토어 in 갤러리아 압구정,24.01.03 - 24.01.19,24.01.03,24.01.19,강남,서울특별시 강남구 압구정로 407 갤러리아백화점 1F 팝업매장,"향수, 향, 룸스프레이, 캔들, 유럽, 럭셔리"
